__label__0	Здравствуйте Анна. У нас пяти этажный двух подъездный дом(14 лет). В конце декабря 2018 года затопило цокольный этаж канализационными отходами.Лишь 4 января мы смогли дозвонится до управляющей компании «Комфорт»,которая обслуживает наш дом. Сначала они говорили ,что выходные,теперь они не могут найти хозяина цокольного этажа,хотя стало известно,что он в декабре скончался.Аварийная служба тоже не может попасть в цоколь,запах стоит не только в подъезде но и в квартирах,как быть? Помогите разобраться. Мы будем вам очень благодарны.
__label__1	по улице Феоктистова 19 кв 77 квартиру заливает с крыше текёт квартира в аварийном состояние
__label__0	Здравствуйте! Подскажите могу ли написать заявление в ЖКХ , чтобы оказали техническую поддержку по ремонту щелей между ванной и стеной, так как меня постоянно топят соседи сверху, а сами они после моих  многочисленных предупреждений и возмущений не предпринимают не каких либо действии по устранению причины потопа.
__label__0	Здравствуйте! Такая ситуация: живём на 4 этаже, на 1 этаже не работает вентканал в ванной, жильцы обратились в управляющую компанию,ншли засор на нашем этаже, теперь просят доступ ломать стену, мы только закончили дорогостоящий ремонт. Насколько мне известно пробивать засор должны с чердака, раз мы не даем доступ уже 4 дня назад отключили газ и сказали не подключать пока не устранят  засор. Правомерным ли их действия? У нас маленький ребёнок. Ждём второго ( шестой месяц беременности) куда нам жаловаться?
__label__2	Возник такой вопрос. Более 1 года не подавал показания счетчиков. Знаю, что если не подаешь долгое время берут среднее потребление. И через пол года переводят на нормы потребления. Я так понимаю, что тогда цифра в куб.м за потребление воды должна быть одинаковая и не меняться. У меня же в платежке несколько месяцев была одинаковая, а потом в мае и июне увеличилась почти в 2 раза, потом снизилась. Была 4.9 стала 9.62, потом 5.85. Теперь несколько месяцев 6.6 куб.м Это по горячей воде. Ходил к бухгалтеру УК, но толком ничего и не объяснили. Теперь хочу написать им письмо с просьбой разобраться, и если была допущена ошибка, то сделать перерасчет. Подскажите, как лучше сделать и добиться справедливости.
__label__1	Протекает с крыши вода в квартиру. Мои действия к управляющей компании.
__label__2	У меня в квартире установлены счетчики на воду, отопление и электричество. Исправно передаются показания и срок оплачиваются счета. УК выставляет счета на оплату по расходу больше, фактически переданных.
__label__3	Хочу написать претензию в УК, в подъезде 3 месяца не убирали, грязь и мусор просто ужасные. Подскажите, на что конкретно руководствоваться (жилищный кодекс, пункты).
__label__3	Был прорыв канализационной трубы в подвале дома. Течь устранили, но запах остался очень сильный. Управляющая компания ничего не предпринимает. Что делать?
__label__0	У нас в квартире постоянно из горячего крана течёт холодная вода и после долгого слива с горячего крана вода начинает теплеть….горячую воду не разбавляем холодной практически никогда, кроме того змеевик в ванной постоянно холодный, и некоторые батареи в квартире еле-еле тёплые. Вызываем УК, они сливают в подарок воду- проблемы устраняются временно-пока вода в змеевике и остальных трубах не остынет…через 15 минут все становится вновь холодным.. Как нам юридически правильно поступить?
__label__2	Здравствуйте! Нашему многоквартирному дому начисляется плата за водоотведение. Эта услуга управляющей компанией не оказывается, все уходит самотеком. Однако же плата за услугу берется. Как нам правильно написать претензию?
__label__1	Здравствуйте. УК при чистке крыши от наледи повредила кондиционер.  Заявление в УК написали в этот же день. Какие наши действия далее. УК предложила ждать до лета.
