__label__11__1	прорвало горячую воду										
__label__11__1	течет горячая труба										
__label__11__1	по горячей трубе льется вожа										
__label__11__1	протекает труба с горячей водой в стояке										
__label__11__1	стояк горячий прорвало										
__label__11__1	меня затапливает горячей водой										
__label__11__1	соседи затопили кипятком										
__label__11__1	прорвало горячую воду										
__label__11__1	теплая труба протекает										
__label__11__2	сломался вводной кран										
__label__11__2	необходимо заменить текущий вводной кран на  трубе гоячей										
__label__11__2	краник на теплой воде сорвало										
__label__11__2	сорвался вводный кран на горячем водоснабжении										
__label__11__3	полотенцесущитель капает и протекает										
__label__11__3	у мнас течет с батареи в ванной комнате										
__label__11__3	ванная комната с протекающим полотенцесушителем										
__label__11__3	капает вода из замеевика в ванне										
__label__11__4	горячей воды нет										
__label__11__4	когда дадут горячую воду										
__label__11__4	пропала теплая вода										
__label__11__4	нет горячей воды, нет никакой воды										
__label__11__4	включите горячее водоснабжение										
__label__11__4	вчера перестала идти горячая вода										
__label__11__5	смесители в ванной потекли										
__label__11__5	течь смесителя в ванной										
__label__11__5	в ванне кран протек с горячей водой										
__label__11__5	труба перед краном на изгибе протекает										
__label__11__5	замените смеситель в ванне										
__label__11__5	необходимо сменить кран в ванне										
__label__11__6	на кухне протекает смеситель										
__label__11__6	замените прокладку в смесителе на кухне										
__label__11__6	кухонный кран протекает										
__label__11__6	течет кран на кухне необходимо заменить										
__label__11__7	гибка подводка в ванне протекает										
__label__11__7	сорвало гибкую проводку в ванне, срыв гибкой проводки, мягкая труба в ванне с горячей водой протекает										
__label__11__7	горячую труюу около крана нужно заменить сорвало течет										
__label__11__8	срыв гибкой подводки на кухне										
__label__11__8	на кухне протекает подводка горячей воды										
__label__11__8	мягкая труба с горячей водой перед краном сорвалась нужно заменить или поменять можно починить подводку										
__label__11__9	горячая вода без напоре еле идет горячая вода										
__label__11__9	увеличьте напор горячей воды										
__label__11__9	на кухне практически нет горячей воды еле капает из крана										
__label__11__9	воды горячей почти нет течет течет тонюсенькой тонкой струйкой										
__label__11__9	еле капает вода из крана горячего										
__label__11__10	полотенцесушитель не работает в ванне										
__label__11__10	сломался полотенцесушитель										
__label__11__10	подключите полотенцесушительв ванне он не работает										
__label__11__10	ледяной холодный не отапливается ванна в ванне змеевик										
__label__11__10	сушка полотенец в ванне батарея в ванне холодная										
