__label__12__1	запах горелой проводки									
__label__12__1	у меня воняет горелой проводкой									
__label__12__1	вонь проводки									
__label__12__1	горит электрическая проводка									
__label__12__1	у меня задымление проводки электричества									
__label__12__2	нет света									
__label__12__2	отключилась электроэнергия в подъезде									
__label__12__2	во всем доме нет света									
__label__12__2	у нас отключили электричество в квартире									
__label__12__2	в подъезде у всех нет света									
__label__12__3	в подъезде разбили лампочку									
__label__12__3	лампочка на этаже перегорела									
__label__12__3	замените лампочку на этаже									
__label__12__3	поставьте новую лампочку в подъезде на этаже									
__label__12__3	темно в подъезде									
__label__12__4	лампочки моргают									
__label__12__4	мерцает свет в квартире									
__label__12__4	моргание электричества - все лампочти мерцают									
__label__12__5	щиток искрится									
__label__12__5	искрит в электрическом щитке									
__label__12__5	щелкает электричество в щитке									
__label__12__5	искрение в щитке в коридоре									
__label__12__5	исправьте искрящийся щиток									
__label__12__6	у меня в комнате искрит розетка									
__label__12__6	из розетки искры летят									
__label__12__6	выключатель искрит ужасно и воняет									
__label__12__6	искрение в розетках по всей квартире									
__label__12__6	выключатель в коридоре искрит									
__label__12__7	при включении любого прибора выбивает автомат									
__label__12__7	у меня постоянно выключается предохранитель на щитке									
__label__12__7	выбивает предохранитель автомат при любом включении									
__label__12__8	постоянно греются провода электрические									
__label__12__8	нагревание проводов и розетки розеток в квартире									
__label__12__8	у меня плавятся розетки									
__label__12__8	перегреваются провода во время работы лампы									
__label__12__9	плита постоянно отключается									
__label__12__9	вырубается плита и не греет									
__label__12__9	выключение электроплиты во время работы									
__label__12__9	неисправности в плите электрической при работе выключается с отключением всей электроплиты									
__label__12__10	одна конформа электрической плиыт перестала включаться									
__label__12__10	не работает одна конформа в плите (Электричество)									
__label__12__10	духовка перестала включаться									
__label__12__10	жаровой шкаф поломался и не регулируется температура									
__label__12__10	в жаровом шкафу не включается лампочка									
