__label__4__1	Не работает доводчик входной двери								
__label__4__1	Входная дверь не работает								
__label__4__1	Входная дверь скрипит								
__label__4__1	Входная дверь резко закрывается								
__label__4__1	Входная дверь неисправна								
__label__4__1	Входная дверь сломана								
__label__4__1	Входная дверь повреждена								
__label__4__2	Дверь на лоджию скрипит								
__label__4__2	Дверь на лоджию сломана								
__label__4__2	Дверь на лестнице скрипит								
__label__4__2	Дверь на лестнице сломана								
__label__4__2	Дверь на лестнице повреждена								
__label__4__2	Дверь на лоджии неисправна								
__label__4__2	Дверь на лестнице повреждена								
__label__4__2	Дверь на лоджию испорчена								
__label__4__2	Переходная дверь сломана								
__label__4__2	Переходная дверь скрипит								
__label__4__2	Переходная дверь неисправна								
__label__4__3	Доводчик двери скрипит								
__label__4__3	Доводчик двери неисправен								
__label__4__3	Доводчик двери смазать								
__label__4__3	Доводчик двери в подъезде сломан								
__label__4__3	Дверь в подъезд сломана								
__label__4__3	Дверь в подъезд скрипит								
__label__4__4	Домофон не фуричит								
__label__4__4	Домофон не работает								
__label__4__4	Домофон замерз								
__label__4__4	Домофон сломали								
__label__4__4	Домофон не пускает домой								
__label__4__4	Бомжи разбили домофон								
__label__4__4	Залили домофон								
__label__4__4	Залипают кнопки домофона								
__label__4__4	Повреждены кнопки домофона								
__label__4__4	Домофон испортили краской								
__label__4__5	Выбиты стекла холодно								
__label__4__5	Разбито стекло зимой								
__label__4__5	Замена стекла в подъезде зимой								
__label__4__5	Нет стекол в подъезде зимой								
__label__4__5	Разбиты стекла в подъезде зимой								
__label__4__6	Выбиты стекла летом								
__label__4__6	Нет стекол в подъезде летом								
__label__4__6	Замена стекол в подъезде летом								
__label__4__6	Разбитые стекла летом								
__label__4__6	Треснутое стекло летом								
__label__4__7	Замки в подвал сломаны								
__label__4__7	Замок в подвал сломан								
__label__4__7	Замок на мусорке сломан								
__label__4__7	Замок на мусорке не открывается								
__label__4__7	Замок в подвал заржавел								
__label__4__7	Замок в подвал неисправен								
__label__4__7	Замок на мусорке неисправен								
__label__4__7	Вход в подвал открыт								
__label__4__7	Сломан замок в подвал								
__label__4__8	Не работает мусоропровод								
__label__4__8	Сломан мусоропровод								
__label__4__8	Засорился мусоропровод								
__label__4__8	Починить мусоропровод								
__label__4__8	Крышка мусоропровода сломана								
__label__4__8	Сильный запах из мусоропровода								
__label__4__8	Испорченный мусоропровод								
__label__4__9	Сломана подъемная платформа 								
__label__4__9	Неисправна подъемная платформа								
__label__4__9	Не работает подъемная платформа								
__label__4__9	Инвалид не может включить платформу для подъема								
__label__4__9	Подъемная платформа сломана								
__label__4__9	Не включается подъемная платформа								
__label__4__10	Перед подъездом темно								
__label__4__10	Перед подъездом нет света								
__label__4__10	Нет света перед подъездом								
__label__4__10	Нет света возле подъезда								
__label__4__10	Свет перед подъездом мигает								
__label__4__10	Свет перед подъездом тусклый								
__label__4__10	у подъезда не горит								
__label__4__10	Плохое освещение перед подъездом								
__label__4__10	Слабый свет перед подъездом								
__label__4__11	Заменить пандус								
__label__4__11	Ремонт пандуса								
__label__4__11	Поменять пандус								
__label__4__11	Установить пандус								
__label__4__11	Спроектировать пандус								
__label__4__11	Пандус сломан 								
__label__4__11	Пандус несправен								
__label__4__11	Замена пандуса								
__label__4__12	Нет света в подъезде								
__label__4__12	Свет в подъезде слабый								
__label__4__12	Свет в подъезде слабый								
__label__4__12	Замена лампочек в подъезде								
__label__4__12	Нет лампочек в подъезде								
__label__4__12	Тусклый свет в подъезде								
__label__4__12	Плохой свет в подъезде								
__label__4__13	Замена трубки домофона в квартире								
__label__4__13	Неисправна трубка домофона в квартире								
__label__4__13	Сломалась трубка домофона в квартире								
__label__4__13	Залили трубку домофона								
__label__4__13	Кнопки на трубке домофона не работают								
__label__4__13	Кнопки на трубке домофона неисправны								
__label__4__14	Магнитный замок несправен								
__label__4__14	Магнитный замок замерз								
__label__4__14	Магнитный замок сломан								
__label__4__14	Магнитный замок не работает								
__label__4__15	Размагнитился магнитный ключ								
__label__4__15	Магнитный ключ утерян								
__label__4__15	Магнитный ключ потерял потерялся потерян 								
__label__4__15	Потерял магнитный ключ								
__label__4__15	Магнитный ключ сломался сломан сломал								
__label__4__15	Магнитный ключ испорчен испортился испортили								
__label__4__15	Магнитный ключ неисправен								
__label__4__16	Общедомовое устройство учета неисправно сломано испорчено не функционирует								
__label__4__17	Переговорное устойство сломано сломалось испорчено разбито не работает								
__label__4__18	Зарядное устройство неисправно повреждено								
